"_case_","_event_","min_completion_time"
"AAED","BILLED","2015/09/23 02:58:35.000"
"AAGD","BILLED","2015/08/06 13:17:31.000"
"AAME","BILLED","2015/12/22 21:24:45.000"
"AAWD","BILLED","2015/10/08 21:05:41.000"
"ABID","BILLED","2015/11/02 14:38:32.000"
"ABKD","BILLED","2015/08/10 13:27:14.000"
"ABWD","BILLED","2015/09/07 23:37:01.000"
"ACHE","BILLED","2015/09/07 20:38:51.000"
"ACND","BILLED","2015/09/11 14:39:36.000"
"ACUD","BILLED","2015/10/31 20:56:51.000"
"ACXD","BILLED","2015/10/30 21:16:42.000"
"ADID","BILLED","2015/08/06 12:49:19.000"
"ADJD","BILLED","2015/09/25 20:00:11.000"
"ADKD","BILLED","2015/09/03 16:34:12.000"
"ADOD","BILLED","2015/09/01 13:15:35.000"
"ADQD","BILLED","2015/11/08 11:12:12.000"
"ADRD","BILLED","2015/10/01 14:35:20.000"
"AECE","BILLED","2015/11/01 13:47:42.000"
"AEID","BILLED","2015/08/11 14:08:16.000"
"AEJD","BILLED","2015/09/29 16:33:58.000"
"AEKD","BILLED","2015/08/30 14:18:03.000"
"AEOD","BILLED","2015/09/26 15:57:33.000"
"AEQD","BILLED","2015/08/12 14:38:02.000"
"AERD","BILLED","2015/10/28 19:12:09.000"
"AFKE","BILLED","2015/11/01 21:19:29.000"
"AFND","BILLED","2015/09/09 11:16:36.000"
"AFVD","BILLED","2015/10/02 21:48:55.000"
"AFXD","BILLED","2015/08/10 11:39:57.000"
"AGLD","BILLED","2015/09/09 14:28:52.000"
"AGNE","BILLED","2015/12/08 20:21:31.000"
"AGQD","BILLED","2015/09/09 14:04:59.000"
"AGRD","BILLED","2015/08/19 00:58:54.000"
"AGYD","BILLED","2015/11/26 22:09:50.000"
"AHCD","BILLED","2015/10/05 02:55:30.000"
"AHLD","BILLED","2015/08/15 23:41:13.000"
"AHOE","BILLED","2015/12/18 22:01:02.000"
"AHQD","BILLED","2015/08/26 01:20:27.000"
"AHYC","BILLED","2016/01/12 09:32:26.000"
"AHYD","BILLED","2015/10/04 21:25:01.000"
"AIBE","BILLED","2015/10/30 20:27:35.000"
"AIDD","BILLED","2015/10/26 01:54:17.000"
"AIFD","BILLED","2015/08/31 13:34:53.000"
"AIFE","BILLED","2015/11/11 21:58:07.000"
"AIMD","BILLED","2015/10/03 21:38:54.000"
"AIUD","BILLED","2015/09/26 16:48:23.000"
"AIVD","BILLED","2015/08/06 12:14:33.000"
"AJEE","BILLED","2015/12/18 21:42:31.000"
"AJJD","BILLED","2015/09/06 13:35:39.000"
"AJKE","BILLED","2015/11/19 21:42:42.000"
"AJPE","BILLED","2015/12/10 19:51:59.000"
"AJSD","BILLED","2015/11/01 19:14:19.000"
"AKOD","BILLED","2015/08/03 14:26:26.000"
"AKQD","BILLED","2015/10/05 16:31:24.000"
"AKRD","BILLED","2015/09/13 01:02:54.000"
"AKYD","BILLED","2015/08/09 13:12:13.000"
"AKZD","BILLED","2015/12/03 21:21:41.000"
"ALAD","BILLED","2015/10/04 15:48:47.000"
"ALED","BILLED","2015/07/25 23:39:26.000"
"ALGD","BILLED","2015/09/06 16:19:40.000"
"ALIE","BILLED","2015/10/12 01:15:05.000"
"ALJE","BILLED","2015/10/11 21:33:35.000"
"ALPD","BILLED","2015/10/09 17:04:37.000"
"AMFD","BILLED","2015/09/11 12:02:57.000"
"AMVD","BILLED","2015/11/08 20:26:01.000"
"AMXD","BILLED","2015/08/26 12:26:46.000"
"ANBD","BILLED","2015/10/07 13:39:50.000"
"ANBE","BILLED","2015/11/20 22:35:55.000"
"ANCD","BILLED","2015/09/27 15:22:49.000"
"ANCE","BILLED","2015/08/26 23:36:55.000"
"ANFD","BILLED","2015/08/04 13:27:18.000"
"ANND","BILLED","2015/09/02 13:59:35.000"
"ANUD","BILLED","2015/08/31 14:57:26.000"
"AOFE","BILLED","2015/08/25 00:14:38.000"
"AOHD","BILLED","2015/10/01 19:32:28.000"
"AOMD","BILLED","2015/09/27 14:51:57.000"
"AOND","BILLED","2015/09/09 01:25:27.000"
"AOUD","BILLED","2015/10/17 01:11:23.000"
"APBE","BILLED","2015/11/25 21:36:48.000"
"APCE","BILLED","2015/12/10 23:01:01.000"
"APLE","BILLED","2015/10/31 00:13:10.000"
"APWD","BILLED","2015/09/08 18:30:54.000"
"AQAE","BILLED","2015/10/08 00:01:57.000"
"AQEE","BILLED","2015/11/23 18:53:04.000"
"AQGE","BILLED","2015/11/19 22:40:31.000"
"AQHD","BILLED","2015/10/31 14:03:29.000"
"AQHE","BILLED","2015/12/13 20:39:42.000"
"AQMD","BILLED","2015/08/31 14:35:22.000"
"AQND","BILLED","2015/10/25 15:05:41.000"
"ARED","BILLED","2015/08/08 10:53:56.000"
"ARJD","BILLED","2015/09/01 16:38:53.000"
"AABE","BILLED","2015/12/24 20:45:44.000"
"AADD","BILLED","2015/09/10 13:37:42.000"
"AAEE","BILLED","2015/11/15 20:42:37.000"
"AAJD","BILLED","2015/10/07 12:59:55.000"
"AAKD","BILLED","2015/10/31 14:09:46.000"
"AAOD","BILLED","2015/10/07 14:53:38.000"
"AARD","BILLED","2015/08/02 13:04:18.000"
"AAUD","BILLED","2015/10/01 01:36:34.000"
"AAXD","BILLED","2015/10/23 23:16:06.000"
"ABDD","BILLED","2015/10/06 15:30:58.000"
"ABLD","BILLED","2015/08/29 12:43:01.000"
"ABRD","BILLED","2015/10/08 20:39:41.000"
"ACBE","BILLED","2015/10/23 23:37:10.000"
"ACED","BILLED","2015/10/31 01:27:04.000"
"ACGE","BILLED","2015/11/19 21:50:46.000"
"ADLD","BILLED","2015/10/01 15:58:25.000"
"ADWD","BILLED","2015/10/17 20:30:30.000"
"AEEE","BILLED","2015/12/11 21:08:42.000"
"AEFD","BILLED","2015/09/11 10:50:38.000"
"AELD","BILLED","2015/09/28 21:07:43.000"
"AEWD","BILLED","2015/08/14 14:14:03.000"
"AFAE","BILLED","2015/10/12 21:37:13.000"
"AFFE","BILLED","2015/12/13 21:55:19.000"
"AFHD","BILLED","2015/10/25 14:20:29.000"
"AFSD","BILLED","2015/09/28 22:01:09.000"
"AFYD","BILLED","2015/09/05 14:10:44.000"
"AGBE","BILLED","2015/12/15 21:27:05.000"
"AGEE","BILLED","2015/12/14 20:22:40.000"
"AGHE","BILLED","2015/12/16 22:20:29.000"
"AGMD","BILLED","2015/09/04 15:39:50.000"
"AGWD","BILLED","2015/09/14 22:30:06.000"
"AHFD","BILLED","2015/08/03 10:59:36.000"
"AHFE","BILLED","2015/10/24 17:12:18.000"
"AHME","BILLED","2015/11/09 21:53:59.000"
"AHND","BILLED","2015/10/24 19:48:46.000"
"AICD","BILLED","2015/04/27 00:52:24.000"
"AIED","BILLED","2015/09/05 00:48:09.000"
"AIME","BILLED","2015/12/12 14:38:46.000"
"AIPD","BILLED","2015/08/04 14:46:47.000"
"AISD","BILLED","2015/09/22 21:59:45.000"
"AIZD","BILLED","2015/11/03 21:16:03.000"
"AJAD","BILLED","2015/10/25 02:30:48.000"
"AJDD","BILLED","2015/09/04 15:46:28.000"
